"trialid","text","question1","question2"
1,"Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested in technology and studied electrical engineering in college, Morse went to Paris to learn from famous artists of his day and later painted many pictures that now hang in museums, including a portrait of former President John Adams. In 1825, Morse was in Washington, D.C., painting a portrait of the Marquis de Lafayette when a messenger arrived on horseback to tell him that his wife was gravely ill back at his home in Connecticut. The message had taken several days to reach him because of the distance. Morse rushed to his home as fast as he could, but his wife had already passed away by the time he arrived. Grief-stricken, he gave up painting and devoted the rest of his life to finding ways to transmit messages over long distances faster.","The main purpose of this passage is \n 1. to outline Morse's biography \n 2. to describe Morse's family life \n 3. to introduce a particular invention by Morse \n 4. to compare Morse's life in Paris and Washington, D.C.","Morse left the art world and helped to invent the telegraph because he \n 1. was tired of painting \n 2. wanted to communicate with people far away  \n 3. experienced a personal tragedy in his life \n 4. was fascinated by science"
2,"Leonardo da Vinci is not only one of the most famous artists in history, but he was also a botanist, a writer, and an inventor. Even though most of his inventions were not actually built in his lifetime, many of today’s modern machines can be traced back to some of his original designs. The parachute, the military tank, the bicycle, and even the airplane were foretold in the imaginative drawings that can still be seen in the fragments of da Vinci’s notebooks. Over five hundred years ago, this man conceived ideas that were far ahead of his time.","The author of this passage is praising da Vinci primarily for his \n 1. artistic talent \n 2. intelligence \n 3. foresight \n 4. fame","Among those listed in the passage, the common theme among da Vinci's designs is \n 1. architecture \n 2. transportation \n 3. optics \n 4. agriculture"
3,"The Amazon Rainforest is one of the most important ecosystems in the world. However, it is slowly being destroyed. Areas of the rainforest are being cleared for farms and roads, and much of the wood is also being harvested and sold. There are several compelling reasons to protect this area. First, a significant number of pharmaceuticals are made from plants that have been discovered in the rainforest, and it's quite possible there are still important plants that have not yet been discovered. Secondly, the rainforest provides a significant portion of the world's oxygen and also absorbs great amounts of carbon dioxide. Without rainforests, global warming could accelerate.","The main purpose of the passage is \n 1. to present the major reasons why the Amazon Rainforest is being destroyed. \n 2. to explain why the Amazon Rainforest should be protected. \n 3. to discuss how the rainforest has helped in the development of medications. \n 4. to argue that rainforest destruction is a major cause of global warming.","One contributing factor to the destruction of the rainforest is \n 1. construction of large dams \n 2. increase in tourism \n 3. logging \n 4. medicinal needs"
4,"Howard Gardner was a psychologist best known for developing the theory of multiple intelligences. Basically, the theory states that the idea of general intelligence or overall intelligence is somewhat inaccurate. This is because people often show intelligence in different areas. He argued that there are actually different types of intelligence. One type of intelligence that Gardner identified was interpersonal intelligence. People who possess this type of intelligence relate and interact well with others. Intrapersonal intelligence, on the other hand, implies that people are in touch with their own feelings. They enjoy thinking about theories and developing their own thoughts and ideas. People who have linguistic intelligence learn best by taking notes and reading textbooks. These people usually excel in traditional academic environments, as many academic subjects stress these types of activities. The other types of intelligence are kinesthetic, musical, spatial, and logical.","The main scientific contribution of Gardner is \n 1. forming an alternative for the theory of general intelligence \n 2. developing teaching methods for people with different types of intelligence \n 3. helping those who were previously considered intellectually disabled \n 4. highlighting the role of interpersonal intelligence","We can conclude from the passage that \n 1. Gardner believed that linguistic intelligence was the most desirable type to have. \n 2. most people who have a high level of intrapersonal intelligence do well in school. \n 3. people who have a high level of interpersonal intelligence work well in groups. \n 4. people who have mathematical intelligence would do the best on a standard IQ test."
5,"The Internet has made life a whole lot easier for many people, but being online also brings with it very real risks. Hackers can steal personal and financial information. There are several precautions that computer users can take to minimize the level of risk that is involved with being online. One of the most obvious safety precautions is to purchase a good anti-virus and anti-spyware program. Passwords are also a very important part of online security, and several tips can help users create more secure passwords. First, they should be something that can easily be remembered, but they should not be something others can guess easily. Your first or last name, phone number, or the name of your street are all bad choices, as people could learn this information quite easily. Longer passwords are more secure, and those that use a mixture of upper and lower case letters and a combination of letters and numbers are more secure than those that do not. Finally, passwords should be changed often. This can make remembering them more difficult, but the extra effort is worth the added security.","The main purpose of this passage is to \n 1. outline important considerations for passwords. \n 2. discuss the societal changes associated with Internet use. \n 3. talk about the importance of anti-virus programs. \n 4. discuss why certain types of passwords shouldn't be used.","According to the passage, changing passwords often is considered  \n 1. beneficial, as it reduces chances of hacking \n 2. beneficial, as often change helps memorize passwords better \n 3. detrimental, as it may lead to often forgetting \n 4. detrimental, as it may lead to overly simplistic codes"
6,"Many people fail to realize just how crucial getting a good night's sleep actually is. It is usually suggested that adults get about seven hours of sleep every night, and younger children should get even more. Sleep has several benefits. First, it is believed to improve memory. This is one reason why it is always preferable to sleep the night before a test rather than stay up for the entire night to review the information. On a related note, sleep also improves concentration and mental alertness. Those who get sufficient sleep are able to concentrate on work tasks better and also react faster when they are driving a car, for example. Finally, people who get enough sleep have better immunity against illness. The reason for this is not fully understood, but researchers believe that an increase in the production of growth hormone and melatonin plays a role.","The main purpose of this passage is \n 1. to discuss how much sleep people should get. \n 2. to talk about the benefits of sleep. \n 3. to present strategies for improving memory and concentration. \n 4. to identify which hormones can boost immunity.","According to the passage, a large portion of the population \n 1. recognizes the benefits of sleep, but ignores them \n 2. cannot follow the recommendations regarding sleep times, due to financial reasons \n 3. prefers to sleep as much as possible \n 4. is unaware of the critical implications of sufficient sleep"
7,"A bird's feathers are extremely important, and when they clean and smooth them, it is known as preening. Birds in the wild preen their feathers on a regular basis. This is true of most captive birds as well, but not all. For example, some birds do not preen their feathers at all. This problem is most common in birds that are taken from their mothers at a very young age. Presumably, the absence of preening is due to the fact that they were never shown how to do it properly. A more common problem among captive birds is excessive preening. Some birds may pull out large numbers of their feathers or bite them down to the skin. It should be noted that wild birds never exhibit this kind of behavior. There are several suggestions about how the problem of excessive preening can be solved, such as giving birds baths or placing them in an area that has more activity to prevent boredom. However, these measures are often not sufficient to solve the problem.","The purpose of the passage is \n 1. to compare captive birds to wild birds. \n 2. to give an overview of abnormal preening in birds. \n 3. to discuss why preening is important. \n 4. to explain how excessive preening problems can be solved.","According to the passage, the most likely cause for the absence of preening is \n 1. being born in captivity. \n 2. being a large bird. \n 3. excessive bathing. \n 4. not getting an example from a parent."
8,"Hibernation in animals is an extremely fascinating phenomenon, one that biologists are not yet close to understanding fully. However, it is quite easy to understand why animals hibernate during the cold winter months. Usually, it is because their food is quite scarce during this time. Animals that are herbivores will find the winters extremely tough, because all of the vegetation will have died off by the time winter arrives. Hibernation is essentially a way of dealing with this food shortage. Animals like birds rely on seeds and small insects for sustenance. Obviously, these will also be quite scarce in the winter when the ground becomes covered and frozen. Many birds address their upcoming food shortage in quite a different way: they migrate to warmer areas where their sources of food will be plentiful.","The main reason animals hibernate is \n 1. to avoid food shortages that occur during the winter months. \n 2. to avoid the harsh weather that occurs during the winter months. \n 3. to cut down on their food consumption during the winter months. \n 4. to save energy for the breeding season which typically occurs in the spring.","According to the passage, birds \n 1. often hibernate much like mammals \n 2. are less impacted by extreme weather conditions \n 3. have different ways of dealing with the winter conditions \n 4. change their food intake during winter"
9,"At one time, the use of leeches to treat medical problems was quite common. If a person suffered from a snake bite or a bee sting, leeches were believed to be capable of removing the poison from the body if they were placed on top of the wound. They have also been used for blood letting and to stop hemorrhages, although neither of these leech treatments would be considered acceptable by present-day physicians. Today, leeches are still used on a limited basis. Most often, leeches are used to drain blood from clogged veins. This results in little pain for the patient and also ensures the patient's blood will not clot while it is being drained.","The main purpose of the passage is \n 1. to explain how leeches can be used to remove poison from the body. \n 2. to compare which uses of leeches are effective and which are not. \n 3. to give an overview of how leeches have been used throughout history. \n 4. to discuss the benefits of using leeches to treat blocked veins.","In the past, leeches were often used as a way to \n 1. remove venom after animal bites \n 2. cure influenza and other viruses \n 3. control and reduce pain \n 4. perform exorcism by priests"
10,"When online file-sharing programs emerged, the music industry changed forever. Perhaps the first widely-used music file sharing program was Napster. It allowed users to sign up to use the service at no charge. Then, they could download music files from other users all over the world by simply typing in what song or album they wanted. Obviously, this was bad news for music artists and record labels because they were not making any profits from downloaded music. Eventually, Napster was shut down. While it later reinvented itself as a paying service, other free music-sharing sites cropped up almost immediately. Even though several sites and individual users have been charged, there are still countless individuals who log onto these sites to obtain free music.","The main problem associated with peer file-sharing sites is \n 1. they prevent artists and labels from earning money. \n 2. there are too many of them currently in existence. \n 3. it is hard to locate users and lay criminal charges against them. \n 4. they allow users to sign up for the service free of charge.","After Napster was shut down, peer file-sharing \n 1. became less available, since users did not know where to look for files. \n 2. became less common, since more users became wary of prosecution. \n 3. became more common, due to the publicity of such services. \n 4. was not dramatically affected, due to the emergence of similar services."
